City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,siwa oasis,29.2041,25.5195,293.61,15,100,4.12,EG,1707667864
281,yeppoon,-23.1333,150.7333,298.03,78,21,7.14,AU,1707667864
282,yorkton,51.2167,-102.4677,266.13,91,98,2.87,CA,1707667865
283,labasa,-16.4167,179.3833,301.9,82,100,10.27,FJ,1707667750
284,hagere maryam,5.6333,38.2333,290.93,78,98,2.46,ET,1707667865
285,dalbandin,28.8947,64.4101,291.48,32,100,1.82,PK,1707667865
286,mwinilunga,-11.7358,24.4293,297.39,68,98,0.78,ZM,1707667865
287,krasnogorskiy,54.6025,61.231,256.15,91,6,3.36,RU,1707667866
288,polyarnyy,69.1989,33.4478,256.09,95,100,2.64,RU,1707667866
289,eduardo castex,-35.915,-64.2945,304.83,41,82,5.56,AR,1707667866
290,mossel bay,-34.1831,22.146,294.25,74,0,8.79,ZA,1707667866
291,las heras,-46.5419,-68.9359,294.52,30,98,13.36,AR,1707667866
292,praya,14.9215,-23.5087,300.72,49,0,0.83,CV,1707667844
293,chui,-33.6971,-53.4616,305.72,52,6,2.91,UY,1707667715
294,karwar,14.8,74.1333,298.05,65,5,4.32,IN,1707667867
295,siocon,7.7061,122.1353,298.77,64,14,5.49,PH,1707667867
296,gadzhiyevo,69.2551,33.3362,260.63,89,100,6.61,RU,1707667867
297,sao joao da barra,-21.6403,-41.0511,306.2,76,20,7.22,BR,1707667867
298,ngereklmadel,7.4883,134.4856,300.2,83,75,4.12,PW,1707667868
299,young,-32.6833,-57.6333,309.61,38,9,4.18,UY,1707667868
300,chibuto,-24.6867,33.5306,298.2,58,80,5.5,MZ,1707667868
301,kavaratti,10.5669,72.642,301.36,73,6,3.43,IN,1707667868
302,fale old settlement,-9.3852,-171.2468,299.88,92,100,8.95,TK,1707667868
303,dalnerechensk,45.9339,133.7225,255.0,99,70,2.05,RU,1707667869
304,turbat,26.0023,63.044,295.22,35,46,3.05,PK,1707667869
305,misratah,32.3754,15.0925,290.57,63,33,10.72,LY,1707667869
306,diffa,13.3154,12.6113,306.43,9,16,3.85,NE,1707667869
307,maragogi,-9.0122,-35.2225,301.64,73,97,5.04,BR,1707667680
308,zhangjiakou shi xuanhua qu,40.6103,115.0447,269.85,74,0,0.8,CN,1707667869
309,dapa,9.7594,126.0531,299.98,78,28,8.7,PH,1707667870
310,queenstown,-31.8976,26.8753,302.43,14,26,3.14,ZA,1707667870
311,san fernando de apure,7.8878,-67.4724,306.59,40,34,4.84,VE,1707667870
312,cockburn town,21.4612,-71.1419,297.74,61,40,8.98,TC,1707667870
313,baruun-urt,46.6806,113.2792,263.49,83,4,8.75,MN,1707667870
314,argos orestiko,40.4667,21.2667,281.08,91,100,0.8,GR,1707667870
315,mugumu,-1.85,34.7,293.73,74,22,1.64,TZ,1707667870
316,mwene-ditu,-7.0,23.45,297.94,81,96,1.72,CD,1707667871
317,ascension,30.2169,-90.9001,297.08,88,100,2.57,US,1707667871
318,malaya purga,56.5567,53.0043,256.32,99,100,2.14,RU,1707667871
319,dedenevo,56.25,37.5167,267.42,98,98,3.13,RU,1707667871
320,alaghsas,17.0187,8.0168,305.6,5,0,1.38,NE,1707667872
321,behshahr,36.6923,53.5526,285.12,57,30,0.96,IR,1707667872
322,sabang,5.8933,95.3214,301.9,74,17,10.86,ID,1707667872
323,rong kwang,18.339,100.3174,298.4,64,0,1.14,TH,1707667872
324,vanimo,-2.6741,141.3028,300.56,81,84,4.33,PG,1707667872
325,khash,28.2211,61.2158,285.98,34,100,5.59,IR,1707667872
326,crane,31.3974,-102.3501,281.65,42,0,7.9,US,1707667873
327,dyersburg,36.0345,-89.3856,281.64,87,100,3.09,US,1707667765
328,vilyuchinsk,52.9306,158.4028,256.44,83,53,3.81,RU,1707667873
329,xinqing,48.2333,129.5,262.15,92,97,4.14,CN,1707667873
330,whangarei,-35.7317,174.3239,284.23,94,1,0.8,NZ,1707667873
331,maumere,-8.6199,122.2111,299.88,89,100,4.98,ID,1707667874
332,santona,43.4439,-3.4576,289.32,61,100,2.51,ES,1707667874
333,danielskuil,-28.1887,23.5395,305.4,7,0,4.73,ZA,1707667874
334,namibe,-15.1961,12.1522,298.08,83,98,4.0,AO,1707667874
335,haiku-pauwela,20.9219,-156.3051,292.62,88,0,2.57,US,1707667874
336,dhidhdhoo,6.8833,73.1,301.15,74,25,4.51,MV,1707667874
337,xixiang,35.1628,112.865,279.42,49,0,2.7,CN,1707667874
338,san lawrenz,36.0553,14.204,286.82,69,91,9.62,MT,1707667875
339,chake chake,-5.2459,39.7666,301.11,79,100,4.83,TZ,1707667875
340,kidal,18.4411,1.4078,305.42,5,0,1.53,ML,1707667875
341,chihuahua,28.5,-106.0,276.04,33,0,5.94,MX,1707667875
342,nahiyat al fuhud,30.9697,46.7228,288.8,59,100,3.44,IQ,1707667760
343,khandyga,62.6667,135.6,232.64,98,45,1.07,RU,1707667875
344,saint-philippe,-21.3585,55.7679,299.92,91,69,2.96,RE,1707667876
345,jinghong,21.991,100.7341,289.04,91,23,0.99,CN,1707667876
346,tindouf,27.6711,-8.1474,301.91,16,2,3.26,DZ,1707667876
347,barakani,-12.1356,44.4317,301.45,74,72,2.5,KM,1707667876
348,ulladulla,-35.35,150.4667,289.96,88,0,2.31,AU,1707667876
349,nizhneangarsk,55.7833,109.55,267.6,95,100,1.34,RU,1707667876
350,la passe,45.5549,-0.8967,285.28,76,19,6.38,FR,1707667877
351,usevia,-7.1,31.2333,295.79,88,94,1.04,TZ,1707667877
352,la quiaca,-22.1024,-65.593,291.48,46,98,3.46,AR,1707667877
353,berlin,52.5244,13.4105,282.22,95,100,2.68,DE,1707667201
354,konskie,51.1917,20.4061,282.17,85,100,5.13,PL,1707667877
355,mora,11.0461,14.1401,308.55,11,0,2.63,CM,1707667878
356,howard springs,-12.497,131.047,299.1,95,100,2.72,AU,1707667878
357,tabou,4.423,-7.3528,303.17,69,90,4.65,CI,1707667878
358,margate,51.3813,1.3862,284.09,81,63,2.68,GB,1707667776
359,formosa,-26.1775,-58.1781,310.36,36,68,5.03,AR,1707667879
360,banca,46.3,27.8,288.03,49,94,6.75,RO,1707667879
